,num_changes,score,model,N,M
0,0,1.0,ER,300,300
1,1,0.9159042418976787,ER,300,300
2,11,0.6928791077279643,ER,300,300
3,21,0.5709505200194688,ER,300,300
4,31,0.5022644706584442,ER,300,300
5,41,0.447357992768729,ER,300,300
6,51,0.40557857189787594,ER,300,300
7,61,0.3802355889634715,ER,300,300
8,71,0.36817402973387464,ER,300,300
9,81,0.36281255704538784,ER,300,300
10,91,0.34017314264190895,ER,300,300
11,450,0.1561444610008078,ER,300,300
12,900,0.11396824051377241,ER,300,300
13,1350,0.10664458944480733,ER,300,300
14,1800,0.09385586198945456,ER,300,300
15,2250,0.08578368960324637,ER,300,300
16,2700,0.0829701290605764,ER,300,300
17,3150,0.07854372294938122,ER,300,300
18,3600,0.07592060594030635,ER,300,300
19,4050,0.07175857359623389,ER,300,300
20,4500,0.07010509670051399,ER,300,300
21,4950,0.07189349772824066,ER,300,300
22,5400,0.07159899838520463,ER,300,300
23,5850,0.06717725973500766,ER,300,300
24,6300,0.06923233964613605,ER,300,300
25,6750,0.0663641254538003,ER,300,300
26,7200,0.06224824274306144,ER,300,300
27,7650,0.063365856786553,ER,300,300
28,8100,0.06317570900363925,ER,300,300
29,8550,0.06552689506509968,ER,300,300
30,9000,0.06254708728700396,ER,300,300
31,0,1.0,ER,300,300
32,1,0.9192017225486415,ER,300,300
33,11,0.6938442218451466,ER,300,300
34,21,0.5791845129892433,ER,300,300
35,31,0.5359662919177292,ER,300,300
36,41,0.4675134363595605,ER,300,300
37,51,0.4460312461133026,ER,300,300
38,61,0.38755635247316256,ER,300,300
39,71,0.34506346532587173,ER,300,300
40,81,0.3568179138203588,ER,300,300
41,91,0.3449881986805846,ER,300,300
42,450,0.16675304516503817,ER,300,300
43,900,0.1150229739119692,ER,300,300
44,1350,0.09949687736761438,ER,300,300
45,1800,0.09389055724896904,ER,300,300
46,2250,0.0911786329624926,ER,300,300
47,2700,0.08374319340585078,ER,300,300
48,3150,0.07496416854677217,ER,300,300
49,3600,0.07600389496629822,ER,300,300
