,N,M,cluster_size,cluster_mean,seed_a,seed_b,score,model
0,20,20,0.1,0.0,0,1,0.1278702856844356,clustered
1,20,20,0.1,0.0,0,2,0.1160395362141739,clustered
2,20,20,0.1,0.0,0,3,0.1057302062518952,clustered
3,20,20,0.1,0.0,0,4,0.1191900839214198,clustered
4,20,20,0.1,0.0,0,5,0.1522462495864928,clustered
5,20,20,0.1,0.0,0,6,0.1553555862742587,clustered
6,20,20,0.1,0.0,0,7,0.1201817558134846,clustered
7,20,20,0.1,0.0,0,8,0.1036787158442467,clustered
8,20,20,0.1,0.0,0,9,0.1082933886896732,clustered
9,20,20,0.1,0.0,0,10,0.1265459399764648,clustered
10,20,20,0.1,0.0,1,2,0.1095973123515382,clustered
11,20,20,0.1,0.0,1,3,0.148522295792796,clustered
12,20,20,0.1,0.0,1,4,0.1148424978342804,clustered
13,20,20,0.1,0.0,1,5,0.1266447891935588,clustered
14,20,20,0.1,0.0,1,6,0.141547332240067,clustered
15,20,20,0.1,0.0,1,7,0.1020613732729036,clustered
16,20,20,0.1,0.0,1,8,0.1033566552854248,clustered
17,20,20,0.1,0.0,1,9,0.1036524604825136,clustered
18,20,20,0.1,0.0,1,10,0.1169468847042045,clustered
19,20,20,0.1,0.0,2,3,0.1179031025317897,clustered
20,20,20,0.1,0.0,2,4,0.1044060035062395,clustered
21,20,20,0.1,0.0,2,5,0.144847297528519,clustered
22,20,20,0.1,0.0,2,6,0.1138913366079024,clustered
23,20,20,0.1,0.0,2,7,0.1162489858812975,clustered
24,20,20,0.1,0.0,2,8,0.0962363804283968,clustered
25,20,20,0.1,0.0,2,9,0.1156478801583873,clustered
26,20,20,0.1,0.0,2,10,0.1230227344446567,clustered
27,20,20,0.1,0.0,3,4,0.1078393965922386,clustered
28,20,20,0.1,0.0,3,5,0.1657948599838623,clustered
29,20,20,0.1,0.0,3,6,0.1288777983747467,clustered
30,20,20,0.1,0.0,3,7,0.1006042187994309,clustered
31,20,20,0.1,0.0,3,8,0.1754222838315406,clustered
