,num_changes,score,model,N,M
0,0,1.0,ER,300,300
1,1,0.9039995123743209,ER,300,300
2,11,0.6586159010091213,ER,300,300
3,21,0.6119468863351737,ER,300,300
4,31,0.4899997233256628,ER,300,300
5,41,0.43108251877420906,ER,300,300
6,51,0.40688669504032904,ER,300,300
7,61,0.41674855785716225,ER,300,300
8,71,0.40481043460882815,ER,300,300
9,81,0.3494767319971777,ER,300,300
10,91,0.3147113878656602,ER,300,300
11,450,0.1551336984549166,ER,300,300
12,900,0.12502220689145083,ER,300,300
13,1350,0.10127281227148453,ER,300,300
14,1800,0.09220767288338193,ER,300,300
15,2250,0.08877199046347611,ER,300,300
16,2700,0.0897584571401676,ER,300,300
17,3150,0.07688645187532833,ER,300,300
18,3600,0.07789448175029973,ER,300,300
19,4050,0.08058667238077981,ER,300,300
20,4500,0.07125462336679415,ER,300,300
21,4950,0.06612900981808836,ER,300,300
22,5400,0.06585850951903381,ER,300,300
23,5850,0.06512856191739823,ER,300,300
24,6300,0.07225026416925413,ER,300,300
25,6750,0.06517262576198718,ER,300,300
26,7200,0.06604936169188999,ER,300,300
27,7650,0.06705992353178335,ER,300,300
28,8100,0.0632724327251416,ER,300,300
29,8550,0.06279034831162628,ER,300,300
30,9000,0.05675088764176521,ER,300,300
31,0,1.0,ER,300,300
32,1,0.9115553602259162,ER,300,300
33,11,0.6565004394116153,ER,300,300
34,21,0.5618855340939868,ER,300,300
35,31,0.49556325904754717,ER,300,300
36,41,0.45566360238254283,ER,300,300
37,51,0.4070531872409615,ER,300,300
38,61,0.36615874123468717,ER,300,300
39,71,0.3241326976881708,ER,300,300
40,81,0.33719767251207117,ER,300,300
41,91,0.3063905450566433,ER,300,300
42,450,0.13574624852102918,ER,300,300
43,900,0.11923368432977154,ER,300,300
44,1350,0.11086150824003929,ER,300,300
45,1800,0.09741135968287572,ER,300,300
46,2250,0.0842634460365779,ER,300,300
47,2700,0.09075330316260953,ER,300,300
48,3150,0.07422235971699112,ER,300,300
49,3600,0.07418596585574141,ER,300,300
50,4050,0.07534475332294313,ER,300,300
51,4500,0.06941336253519807,ER,300,300
52,4950,0.07024740230049373,ER,300,300
53,5400,0.06905431532573644,ER,300,300
54,5850,0.06930675130688294,ER,300,300
55,6300,0.06038061999136063,ER,300,300
56,6750,0.06584527377895755,ER,300,300
57,7200,0.06026651413922819,ER,300,300
58,7650,0.06270025613467492,ER,300,300
59,8100,0.06275806469799158,ER,300,300
60,8550,0.06067311965248119,ER,300,300
61,9000,0.06581366898312442,ER,300,300
62,0,1.0,ER,300,300
63,1,0.9102236469247578,ER,300,300
64,11,0.682770144564361,ER,300,300
65,21,0.5620716184438855,ER,300,300
66,31,0.5102871236179491,ER,300,300
67,41,0.4483603610883392,ER,300,300
68,51,0.41274639475055264,ER,300,300
69,61,0.3752506732619169,ER,300,300
70,71,0.35698915920585783,ER,300,300
71,81,0.3157345540089789,ER,300,300
72,91,0.3279613664913691,ER,300,300
73,450,0.1735845390877544,ER,300,300
74,900,0.11214953579197114,ER,300,300
75,1350,0.10318603002886165,ER,300,300
76,1800,0.08252859569206163,ER,300,300
77,2250,0.08639481206263265,ER,300,300
78,2700,0.07805936790011556,ER,300,300
79,3150,0.07996042339356575,ER,300,300
80,3600,0.07684855524165528,ER,300,300
81,4050,0.07767637098052352,ER,300,300
82,4500,0.07144632175099129,ER,300,300
83,4950,0.06642753074874394,ER,300,300
84,5400,0.06411509659113895,ER,300,300
85,5850,0.06823241717178338,ER,300,300
86,6300,0.0690373714674124,ER,300,300
87,6750,0.06349240977895856,ER,300,300
88,7200,0.06332812249335996,ER,300,300
89,7650,0.06703219838103021,ER,300,300
90,8100,0.06663240534188272,ER,300,300
91,8550,0.06375461340288928,ER,300,300
92,9000,0.05869380712940277,ER,300,300
93,0,1.0,ER,300,300
94,1,0.907068443313827,ER,300,300
95,11,0.6632845148243143,ER,300,300
96,21,0.5591335041374836,ER,300,300
97,31,0.4855784537029724,ER,300,300
98,41,0.4502012298860725,ER,300,300
99,51,0.41745503546772034,ER,300,300
100,61,0.3813058923397596,ER,300,300
101,71,0.37208139560040704,ER,300,300
102,81,0.37574602273318913,ER,300,300
103,91,0.3416796743402695,ER,300,300
104,450,0.15691120373502482,ER,300,300
105,900,0.11755579128467725,ER,300,300
106,1350,0.10539058467429374,ER,300,300
107,1800,0.09625918535958826,ER,300,300
108,2250,0.08879389281390054,ER,300,300
109,2700,0.08122890255584407,ER,300,300
110,3150,0.07917703473675898,ER,300,300
111,3600,0.07602376267702794,ER,300,300
112,4050,0.07081070345826598,ER,300,300
113,4500,0.07168285497076787,ER,300,300
114,4950,0.06933894590148013,ER,300,300
115,5400,0.06765288699846977,ER,300,300
116,5850,0.06841484762914915,ER,300,300
117,6300,0.06273550235235308,ER,300,300
118,6750,0.06379056398972802,ER,300,300
119,7200,0.06259534341272356,ER,300,300
120,7650,0.06048787552779625,ER,300,300
121,8100,0.06522090029616145,ER,300,300
122,8550,0.0649670734911306,ER,300,300
123,9000,0.059818073016804287,ER,300,300
124,0,1.0,ER,300,300
125,1,0.8989201980068162,ER,300,300
126,11,0.6954765146372609,ER,300,300
127,21,0.561074417491003,ER,300,300
128,31,0.5032083825724345,ER,300,300
129,41,0.47606330795267193,ER,300,300
130,51,0.44576032373409025,ER,300,300
131,61,0.4096070076682782,ER,300,300
132,71,0.3829479822383913,ER,300,300
133,81,0.32543742422340755,ER,300,300
134,91,0.334033388830727,ER,300,300
135,450,0.1533788125305598,ER,300,300
136,900,0.12715786468875226,ER,300,300
137,1350,0.1020568579421616,ER,300,300
138,1800,0.09505286090267341,ER,300,300
139,2250,0.08446964105887914,ER,300,300
140,2700,0.08315147553759829,ER,300,300
141,3150,0.08350701411924641,ER,300,300
142,3600,0.07169674020247094,ER,300,300
143,4050,0.07438724658940428,ER,300,300
144,4500,0.07011991372342119,ER,300,300
145,4950,0.06810043028063335,ER,300,300
146,5400,0.06990870841257991,ER,300,300
147,5850,0.06691884850362846,ER,300,300
148,6300,0.06676817545913033,ER,300,300
149,6750,0.06473945106957185,ER,300,300
150,7200,0.06363720693602155,ER,300,300
151,7650,0.06423539707286434,ER,300,300
152,8100,0.06608318136466326,ER,300,300
153,8550,0.05964758449150997,ER,300,300
154,9000,0.05811280454125557,ER,300,300
155,0,1.0,ER,300,300
156,1,0.8971931390579762,ER,300,300
157,11,0.6564956378137228,ER,300,300
158,21,0.568712448804871,ER,300,300
159,31,0.44409873451920856,ER,300,300
160,41,0.434105875119299,ER,300,300
161,51,0.4200417588834121,ER,300,300
162,61,0.39946651095981667,ER,300,300
163,71,0.36736003506588166,ER,300,300
164,81,0.3350001283203208,ER,300,300
165,91,0.35522028209233664,ER,300,300
166,450,0.16033426802244102,ER,300,300
167,900,0.12326845764427805,ER,300,300
168,1350,0.09952859583665245,ER,300,300
169,1800,0.08765023973588942,ER,300,300
170,2250,0.08739134147869053,ER,300,300
171,2700,0.08883031022420565,ER,300,300
172,3150,0.0763741615593232,ER,300,300
173,3600,0.07744198534939632,ER,300,300
174,4050,0.07349634768052589,ER,300,300
175,4500,0.0738772621470305,ER,300,300
176,4950,0.06682779232952703,ER,300,300
177,5400,0.06642213162138265,ER,300,300
178,5850,0.06713236819908025,ER,300,300
179,6300,0.06531253686342227,ER,300,300
180,6750,0.065545256014333,ER,300,300
181,7200,0.06373671743676015,ER,300,300
182,7650,0.06571424309695659,ER,300,300
183,8100,0.06077510278988746,ER,300,300
184,8550,0.06499273435604594,ER,300,300
185,9000,0.06323494583755321,ER,300,300
186,0,1.0,ER,300,300
187,1,0.9096669871154419,ER,300,300
188,11,0.6743153905844842,ER,300,300
189,21,0.5873383620594745,ER,300,300
190,31,0.5117428622181456,ER,300,300
191,41,0.4253554495367293,ER,300,300
192,51,0.4162868966526657,ER,300,300
193,61,0.38482291847186056,ER,300,300
194,71,0.3585741320064265,ER,300,300
195,81,0.3408352316474134,ER,300,300
196,91,0.3334023414142403,ER,300,300
197,450,0.1536224787441423,ER,300,300
198,900,0.11104254310770761,ER,300,300
199,1350,0.10599647194092034,ER,300,300
200,1800,0.09587169185975929,ER,300,300
201,2250,0.09218521593001099,ER,300,300
202,2700,0.08384046352006302,ER,300,300
203,3150,0.07547135602491141,ER,300,300
204,3600,0.07059139866310798,ER,300,300
205,4050,0.07022990727696928,ER,300,300
206,4500,0.0790453063966794,ER,300,300
207,4950,0.07011284629723324,ER,300,300
208,5400,0.07276848258503588,ER,300,300
209,5850,0.06411645189747744,ER,300,300
210,6300,0.06513938630390465,ER,300,300
211,6750,0.06372294782648681,ER,300,300
212,7200,0.0646238545368963,ER,300,300
213,7650,0.06250191992997019,ER,300,300
214,8100,0.0637818693132189,ER,300,300
215,8550,0.06027956214947862,ER,300,300
216,9000,0.0659882712306364,ER,300,300
217,0,1.0,ER,300,300
218,1,0.9107801812620305,ER,300,300
219,11,0.6400260595621586,ER,300,300
220,21,0.5729755533885144,ER,300,300
221,31,0.48884463238660003,ER,300,300
222,41,0.4618273639633311,ER,300,300
223,51,0.4433074914771853,ER,300,300
224,61,0.39950122802120713,ER,300,300
225,71,0.3740793630925885,ER,300,300
226,81,0.33729743999208195,ER,300,300
227,91,0.32621047045232754,ER,300,300
228,450,0.17230160019486365,ER,300,300
229,900,0.12081760613160528,ER,300,300
230,1350,0.102972302127613,ER,300,300
231,1800,0.0915198026408377,ER,300,300
232,2250,0.09216253406697522,ER,300,300
233,2700,0.08227550558585228,ER,300,300
234,3150,0.08212912848825214,ER,300,300
235,3600,0.07733781826339621,ER,300,300
236,4050,0.07306979914385851,ER,300,300
237,4500,0.07053688938630745,ER,300,300
238,4950,0.0700373889626573,ER,300,300
239,5400,0.06854477618722651,ER,300,300
240,5850,0.06718755606227643,ER,300,300
241,6300,0.0681693668032284,ER,300,300
242,6750,0.06301343729556674,ER,300,300
243,7200,0.06857697288735858,ER,300,300
244,7650,0.06004686362837952,ER,300,300
245,8100,0.06637305332369522,ER,300,300
246,8550,0.060727171050575686,ER,300,300
247,9000,0.0673180770914984,ER,300,300
248,0,1.0,ER,300,300
249,1,0.8949788895884728,ER,300,300
250,11,0.6780655354626952,ER,300,300
251,21,0.5490219997887125,ER,300,300
252,31,0.519859866491937,ER,300,300
253,41,0.4709043733657143,ER,300,300
254,51,0.4278503606303501,ER,300,300
255,61,0.45606278157085756,ER,300,300
256,71,0.3849010738672879,ER,300,300
257,81,0.32395757475429465,ER,300,300
258,91,0.32255257135830606,ER,300,300
259,450,0.16923919630211906,ER,300,300
260,900,0.10660171208982838,ER,300,300
261,1350,0.10062496478213404,ER,300,300
262,1800,0.09678597090715145,ER,300,300
263,2250,0.08340760219402754,ER,300,300
264,2700,0.08388290632369926,ER,300,300
265,3150,0.0822764300471571,ER,300,300
266,3600,0.07635580681981682,ER,300,300
267,4050,0.0724674889004462,ER,300,300
268,4500,0.07023728963152492,ER,300,300
269,4950,0.0709452886388264,ER,300,300
270,5400,0.06574103464801306,ER,300,300
271,5850,0.06298509306073045,ER,300,300
272,6300,0.06466136090903979,ER,300,300
273,6750,0.06772324706266201,ER,300,300
274,7200,0.06448296671457131,ER,300,300
275,7650,0.06119803817614669,ER,300,300
276,8100,0.05911145602782661,ER,300,300
277,8550,0.0608765308208685,ER,300,300
278,9000,0.06217515191679924,ER,300,300
279,0,1.0,ER,300,300
280,1,0.8935192002025294,ER,300,300
281,11,0.6791341181272703,ER,300,300
282,21,0.5618555820047599,ER,300,300
283,31,0.4914261058738466,ER,300,300
284,41,0.46501057662056017,ER,300,300
285,51,0.39009719408136306,ER,300,300
286,61,0.3799095909222611,ER,300,300
287,71,0.3592935944761908,ER,300,300
288,81,0.32420287245022,ER,300,300
289,91,0.3066200406631986,ER,300,300
290,450,0.15518054922222402,ER,300,300
291,900,0.12286804602491717,ER,300,300
292,1350,0.10015243093759844,ER,300,300
293,1800,0.09924950860137974,ER,300,300
294,2250,0.08470513525316292,ER,300,300
295,2700,0.08226493650861522,ER,300,300
296,3150,0.07627329354354699,ER,300,300
297,3600,0.07469063925023454,ER,300,300
