,N,M,cluster_size,cluster_mean,seed_a,seed_b,score,model
0,300,450,5.0,0.0,0,1,0.0354906013799777,clustered
1,300,450,5.0,0.0,0,2,0.0380934174795802,clustered
2,300,450,5.0,0.0,0,3,0.0380665791474947,clustered
3,300,450,5.0,0.0,0,4,0.0358703249612554,clustered
4,300,450,5.0,0.0,0,5,0.0361601910742998,clustered
5,300,450,5.0,0.0,0,6,0.0351705653440815,clustered
6,300,450,5.0,0.0,0,7,0.0375765963090753,clustered
7,300,450,5.0,0.0,0,8,0.0362814477008468,clustered
8,300,450,5.0,0.0,0,9,0.0364491620856112,clustered
9,300,450,5.0,0.0,0,10,0.0363470219008135,clustered
10,300,450,5.0,0.0,1,2,0.0369868889026843,clustered
11,300,450,5.0,0.0,1,3,0.0369304047906415,clustered
12,300,450,5.0,0.0,1,4,0.0368501180234243,clustered
13,300,450,5.0,0.0,1,5,0.0367730268373713,clustered
14,300,450,5.0,0.0,1,6,0.0378209854927949,clustered
15,300,450,5.0,0.0,1,7,0.0361833940493752,clustered
16,300,450,5.0,0.0,1,8,0.0374902997745848,clustered
17,300,450,5.0,0.0,1,9,0.0380038794912964,clustered
18,300,450,5.0,0.0,1,10,0.0383854493865449,clustered
19,300,450,5.0,0.0,2,3,0.0377831176904555,clustered
20,300,450,5.0,0.0,2,4,0.0365296493638479,clustered
21,300,450,5.0,0.0,2,5,0.0368732927652023,clustered
22,300,450,5.0,0.0,2,6,0.0353088091977792,clustered
23,300,450,5.0,0.0,2,7,0.0363318697603632,clustered
24,300,450,5.0,0.0,2,8,0.035617079524274,clustered
25,300,450,5.0,0.0,2,9,0.0368842800000243,clustered
26,300,450,5.0,0.0,2,10,0.0365516191993843,clustered
27,300,450,5.0,0.0,3,4,0.0362932570925191,clustered
28,300,450,5.0,0.0,3,5,0.0361277890826114,clustered
29,300,450,5.0,0.0,3,6,0.0372135179649699,clustered
30,300,450,5.0,0.0,3,7,0.0392491949044339,clustered
31,300,450,5.0,0.0,3,8,0.0369461443488752,clustered
32,300,450,5.0,0.0,3,9,0.0365748249057091,clustered
33,300,450,5.0,0.0,3,10,0.0364941478088745,clustered
34,300,450,5.0,0.0,4,5,0.0374964314334726,clustered
35,300,450,5.0,0.0,4,6,0.0374308316564455,clustered
36,300,450,5.0,0.0,4,7,0.0380048310995779,clustered
37,300,450,5.0,0.0,4,8,0.0371078796309322,clustered
38,300,450,5.0,0.0,4,9,0.0375210876893038,clustered
39,300,450,5.0,0.0,4,10,0.0386756339046182,clustered
40,300,450,5.0,0.0,5,6,0.0349590109977134,clustered
41,300,450,5.0,0.0,5,7,0.0370643084384542,clustered
42,300,450,5.0,0.0,5,8,0.0382817769087452,clustered
43,300,450,5.0,0.0,5,9,0.0372747971133625,clustered
44,300,450,5.0,0.0,5,10,0.037048679897733,clustered
45,300,450,5.0,0.0,6,7,0.0368091290402498,clustered
46,300,450,5.0,0.0,6,8,0.0374006449672131,clustered
47,300,450,5.0,0.0,6,9,0.0358699518109539,clustered
48,300,450,5.0,0.0,6,10,0.0374689254926178,clustered
49,300,450,5.0,0.0,7,8,0.0356382922852196,clustered
50,300,450,5.0,0.0,7,9,0.0364593476790437,clustered
51,300,450,5.0,0.0,7,10,0.0376586307305599,clustered
52,300,450,5.0,0.0,8,9,0.0363491323333768,clustered
53,300,450,5.0,0.0,8,10,0.0362682434878961,clustered
54,300,450,5.0,0.0,9,10,0.0367876810656097,clustered
55,300,450,5.0,5.0,0,1,0.0362193348555194,clustered
56,300,450,5.0,5.0,0,2,0.0374977934780031,clustered
57,300,450,5.0,5.0,0,3,0.0377403075942166,clustered
58,300,450,5.0,5.0,0,4,0.0366988771662236,clustered
59,300,450,5.0,5.0,0,5,0.0359287530197207,clustered
60,300,450,5.0,5.0,0,6,0.036751433560896,clustered
61,300,450,5.0,5.0,0,7,0.0369245866621645,clustered
62,300,450,5.0,5.0,0,8,0.0362271806643949,clustered
63,300,450,5.0,5.0,0,9,0.036700983779707,clustered
64,300,450,5.0,5.0,0,10,0.0366400699591593,clustered
65,300,450,5.0,5.0,1,2,0.0367703295589815,clustered
66,300,450,5.0,5.0,1,3,0.0371383716802527,clustered
67,300,450,5.0,5.0,1,4,0.0371342511161227,clustered
68,300,450,5.0,5.0,1,5,0.03506820491383,clustered
69,300,450,5.0,5.0,1,6,0.0373401634329396,clustered
70,300,450,5.0,5.0,1,7,0.0374971671718395,clustered
71,300,450,5.0,5.0,1,8,0.0380694842902277,clustered
72,300,450,5.0,5.0,1,9,0.0381959924543515,clustered
73,300,450,5.0,5.0,1,10,0.0386193928333257,clustered
74,300,450,5.0,5.0,2,3,0.0383131682727715,clustered
75,300,450,5.0,5.0,2,4,0.0360067155109727,clustered
76,300,450,5.0,5.0,2,5,0.0365236967308975,clustered
77,300,450,5.0,5.0,2,6,0.0371141234011099,clustered
78,300,450,5.0,5.0,2,7,0.0365463511162619,clustered
79,300,450,5.0,5.0,2,8,0.0362382501695841,clustered
80,300,450,5.0,5.0,2,9,0.0373516383233435,clustered
81,300,450,5.0,5.0,2,10,0.037804963498841,clustered
82,300,450,5.0,5.0,3,4,0.0370382704006789,clustered
83,300,450,5.0,5.0,3,5,0.0350346119901901,clustered
84,300,450,5.0,5.0,3,6,0.0386301726523404,clustered
85,300,450,5.0,5.0,3,7,0.0396714441327805,clustered
86,300,450,5.0,5.0,3,8,0.0371468776542582,clustered
87,300,450,5.0,5.0,3,9,0.0375843879360538,clustered
88,300,450,5.0,5.0,3,10,0.03642498904303,clustered
89,300,450,5.0,5.0,4,5,0.0371801995108782,clustered
