,N,M,cluster_size,cluster_mean,seed_a,seed_b,score,model
0,20,30,0.166,0.0,0,1,0.1015011454892515,clustered
1,20,30,0.166,0.0,0,2,0.1216390635098949,clustered
2,20,30,0.166,0.0,0,3,0.1131005501267204,clustered
3,20,30,0.166,0.0,0,4,0.1614252708613931,clustered
4,20,30,0.166,0.0,0,5,0.1087841647845434,clustered
5,20,30,0.166,0.0,0,6,0.1327257562357815,clustered
6,20,30,0.166,0.0,0,7,0.0951318972279824,clustered
7,20,30,0.166,0.0,0,8,0.1106190131724846,clustered
8,20,30,0.166,0.0,0,9,0.102236750834117,clustered
9,20,30,0.166,0.0,0,10,0.116094973196742,clustered
10,20,30,0.166,0.0,1,2,0.1159117671283452,clustered
11,20,30,0.166,0.0,1,3,0.0856437667935182,clustered
12,20,30,0.166,0.0,1,4,0.1046999502640179,clustered
13,20,30,0.166,0.0,1,5,0.0980649337835573,clustered
14,20,30,0.166,0.0,1,6,0.0896311732998162,clustered
15,20,30,0.166,0.0,1,7,0.1279061311444858,clustered
16,20,30,0.166,0.0,1,8,0.1232342320699165,clustered
17,20,30,0.166,0.0,1,9,0.1260603283733406,clustered
18,20,30,0.166,0.0,1,10,0.0966169193470573,clustered
19,20,30,0.166,0.0,2,3,0.0967494928729125,clustered
20,20,30,0.166,0.0,2,4,0.1125676657839992,clustered
21,20,30,0.166,0.0,2,5,0.1058774379507111,clustered
22,20,30,0.166,0.0,2,6,0.1110786802568582,clustered
23,20,30,0.166,0.0,2,7,0.1078306953180948,clustered
24,20,30,0.166,0.0,2,8,0.0826587543721468,clustered
25,20,30,0.166,0.0,2,9,0.1184768610518585,clustered
26,20,30,0.166,0.0,2,10,0.1009474547903061,clustered
27,20,30,0.166,0.0,3,4,0.0948340060612283,clustered
28,20,30,0.166,0.0,3,5,0.1073249986314341,clustered
29,20,30,0.166,0.0,3,6,0.1170830473167149,clustered
30,20,30,0.166,0.0,3,7,0.086795238303138,clustered
31,20,30,0.166,0.0,3,8,0.1287720794425141,clustered
32,20,30,0.166,0.0,3,9,0.1309725316556375,clustered
33,20,30,0.166,0.0,3,10,0.114052262945052,clustered
34,20,30,0.166,0.0,4,5,0.1033165262495707,clustered
35,20,30,0.166,0.0,4,6,0.123968239391645,clustered
36,20,30,0.166,0.0,4,7,0.1198031107176886,clustered
37,20,30,0.166,0.0,4,8,0.138441819748894,clustered
38,20,30,0.166,0.0,4,9,0.1335480720416954,clustered
39,20,30,0.166,0.0,4,10,0.1280918721355445,clustered
40,20,30,0.166,0.0,5,6,0.0995917165159338,clustered
41,20,30,0.166,0.0,5,7,0.0937226762834173,clustered
42,20,30,0.166,0.0,5,8,0.0961750134821511,clustered
43,20,30,0.166,0.0,5,9,0.1442295996564812,clustered
44,20,30,0.166,0.0,5,10,0.1079133939384675,clustered
45,20,30,0.166,0.0,6,7,0.086636244224865,clustered
46,20,30,0.166,0.0,6,8,0.1271927733001774,clustered
47,20,30,0.166,0.0,6,9,0.0936482249423901,clustered
48,20,30,0.166,0.0,6,10,0.1036315182254528,clustered
49,20,30,0.166,0.0,7,8,0.0999008406115282,clustered
50,20,30,0.166,0.0,7,9,0.1177129098692279,clustered
51,20,30,0.166,0.0,7,10,0.1018768988785792,clustered
52,20,30,0.166,0.0,8,9,0.1098985740127532,clustered
53,20,30,0.166,0.0,8,10,0.1208402693846208,clustered
54,20,30,0.166,0.0,9,10,0.1361848711505983,clustered
55,20,30,0.166,5.0,0,1,0.150084422732714,clustered
56,20,30,0.166,5.0,0,2,0.1097966427917828,clustered
57,20,30,0.166,5.0,0,3,0.1116163669265912,clustered
58,20,30,0.166,5.0,0,4,0.1305834787736876,clustered
59,20,30,0.166,5.0,0,5,0.1306185299546883,clustered
60,20,30,0.166,5.0,0,6,0.1208416387279436,clustered
61,20,30,0.166,5.0,0,7,0.0900719296659094,clustered
62,20,30,0.166,5.0,0,8,0.1013501122641807,clustered
63,20,30,0.166,5.0,0,9,0.1186470499776874,clustered
64,20,30,0.166,5.0,0,10,0.1218309299073634,clustered
65,20,30,0.166,5.0,1,2,0.1319927582674151,clustered
66,20,30,0.166,5.0,1,3,0.0794314822080114,clustered
67,20,30,0.166,5.0,1,4,0.1065079570172174,clustered
68,20,30,0.166,5.0,1,5,0.1122449675340642,clustered
69,20,30,0.166,5.0,1,6,0.0880754281872177,clustered
70,20,30,0.166,5.0,1,7,0.1295844642383143,clustered
71,20,30,0.166,5.0,1,8,0.1429396546029985,clustered
72,20,30,0.166,5.0,1,9,0.1145758761704628,clustered
73,20,30,0.166,5.0,1,10,0.098718404636195,clustered
74,20,30,0.166,5.0,2,3,0.1007367805148309,clustered
75,20,30,0.166,5.0,2,4,0.1012066515611284,clustered
76,20,30,0.166,5.0,2,5,0.1045357686786161,clustered
77,20,30,0.166,5.0,2,6,0.1222227935063254,clustered
78,20,30,0.166,5.0,2,7,0.1324265332537224,clustered
79,20,30,0.166,5.0,2,8,0.0976141579192988,clustered
80,20,30,0.166,5.0,2,9,0.1225816043778311,clustered
81,20,30,0.166,5.0,2,10,0.1118016532151565,clustered
82,20,30,0.166,5.0,3,4,0.1060228037304599,clustered
83,20,30,0.166,5.0,3,5,0.1013569154979334,clustered
84,20,30,0.166,5.0,3,6,0.1132971773044004,clustered
85,20,30,0.166,5.0,3,7,0.0826215543723387,clustered
86,20,30,0.166,5.0,3,8,0.1175748577140114,clustered
87,20,30,0.166,5.0,3,9,0.1197866921055379,clustered
88,20,30,0.166,5.0,3,10,0.1054102045927201,clustered
89,20,30,0.166,5.0,4,5,0.1221610574651495,clustered
90,20,30,0.166,5.0,4,6,0.0987809106174272,clustered
91,20,30,0.166,5.0,4,7,0.1254470643359373,clustered
92,20,30,0.166,5.0,4,8,0.1488759622036979,clustered
93,20,30,0.166,5.0,4,9,0.1256045826974063,clustered
94,20,30,0.166,5.0,4,10,0.1161071346571931,clustered
95,20,30,0.166,5.0,5,6,0.0992666115020822,clustered
96,20,30,0.166,5.0,5,7,0.1111693007598098,clustered
97,20,30,0.166,5.0,5,8,0.0867649631821525,clustered
98,20,30,0.166,5.0,5,9,0.1380911812276677,clustered
99,20,30,0.166,5.0,5,10,0.1070186160162149,clustered
100,20,30,0.166,5.0,6,7,0.1043256545274582,clustered
101,20,30,0.166,5.0,6,8,0.1231412914994253,clustered
102,20,30,0.166,5.0,6,9,0.100579386909758,clustered
103,20,30,0.166,5.0,6,10,0.1054250002001955,clustered
104,20,30,0.166,5.0,7,8,0.1311245949101566,clustered
105,20,30,0.166,5.0,7,9,0.1211290000282989,clustered
106,20,30,0.166,5.0,7,10,0.1091401791207389,clustered
107,20,30,0.166,5.0,8,9,0.1242888820833233,clustered
108,20,30,0.166,5.0,8,10,0.1168875057844192,clustered
109,20,30,0.166,5.0,9,10,0.1373039266211223,clustered
110,20,30,0.166,10.0,0,1,0.1474031252735076,clustered
111,20,30,0.166,10.0,0,2,0.140669771403145,clustered
112,20,30,0.166,10.0,0,3,0.1090485144901287,clustered
113,20,30,0.166,10.0,0,4,0.1433412896340969,clustered
