,N,M,cluster_size,cluster_mean,seed_a,seed_b,score,model
0,300,300,5.0,0.0,0,1,0.03970383620909,clustered
1,300,300,5.0,0.0,0,2,0.0382891065909661,clustered
2,300,300,5.0,0.0,0,3,0.039312228363832,clustered
3,300,300,5.0,0.0,0,4,0.0397985896944461,clustered
4,300,300,5.0,0.0,0,5,0.04165414008187,clustered
5,300,300,5.0,0.0,0,6,0.041392736384221,clustered
6,300,300,5.0,0.0,0,7,0.0398638990848461,clustered
7,300,300,5.0,0.0,0,8,0.0397635302469654,clustered
8,300,300,5.0,0.0,0,9,0.0373307046349788,clustered
9,300,300,5.0,0.0,0,10,0.0394333528727099,clustered
10,300,300,5.0,0.0,1,2,0.0394927332973224,clustered
11,300,300,5.0,0.0,1,3,0.0395352525204584,clustered
12,300,300,5.0,0.0,1,4,0.0419619091760245,clustered
13,300,300,5.0,0.0,1,5,0.0398575787294942,clustered
14,300,300,5.0,0.0,1,6,0.0402162852177232,clustered
15,300,300,5.0,0.0,1,7,0.0409211811643008,clustered
16,300,300,5.0,0.0,1,8,0.0409818044049387,clustered
17,300,300,5.0,0.0,1,9,0.0404427528530571,clustered
18,300,300,5.0,0.0,1,10,0.0399664560978476,clustered
19,300,300,5.0,0.0,2,3,0.0385613637110881,clustered
20,300,300,5.0,0.0,2,4,0.0400558987666781,clustered
21,300,300,5.0,0.0,2,5,0.0400397615356796,clustered
22,300,300,5.0,0.0,2,6,0.0384091429848126,clustered
23,300,300,5.0,0.0,2,7,0.0388846549702188,clustered
24,300,300,5.0,0.0,2,8,0.039057456297886,clustered
25,300,300,5.0,0.0,2,9,0.0391010083426604,clustered
26,300,300,5.0,0.0,2,10,0.0386502753080806,clustered
27,300,300,5.0,0.0,3,4,0.0420465736009633,clustered
28,300,300,5.0,0.0,3,5,0.0400433270004517,clustered
29,300,300,5.0,0.0,3,6,0.0379449783873619,clustered
30,300,300,5.0,0.0,3,7,0.0380028587632437,clustered
31,300,300,5.0,0.0,3,8,0.0390820148741719,clustered
32,300,300,5.0,0.0,3,9,0.0395643895799944,clustered
33,300,300,5.0,0.0,3,10,0.0389041556632382,clustered
34,300,300,5.0,0.0,4,5,0.0407335837806141,clustered
35,300,300,5.0,0.0,4,6,0.0388518860875851,clustered
36,300,300,5.0,0.0,4,7,0.0408748240118806,clustered
