,N,M,cluster_size,cluster_mean,seed_a,seed_b,score,model
0,20,20,0.166,0.0,0,1,0.1040153077108001,clustered
1,20,20,0.166,0.0,0,2,0.1227500354154919,clustered
2,20,20,0.166,0.0,0,3,0.1350265788535088,clustered
3,20,20,0.166,0.0,0,4,0.1177478665614166,clustered
4,20,20,0.166,0.0,0,5,0.1572739432620875,clustered
5,20,20,0.166,0.0,0,6,0.1466626921372965,clustered
6,20,20,0.166,0.0,0,7,0.123074019211797,clustered
7,20,20,0.166,0.0,0,8,0.0977936498660035,clustered
8,20,20,0.166,0.0,0,9,0.1013519821848556,clustered
9,20,20,0.166,0.0,0,10,0.1199124314935643,clustered
10,20,20,0.166,0.0,1,2,0.1312992922833843,clustered
11,20,20,0.166,0.0,1,3,0.1081399501428775,clustered
12,20,20,0.166,0.0,1,4,0.1135058677962883,clustered
13,20,20,0.166,0.0,1,5,0.1146410094617684,clustered
14,20,20,0.166,0.0,1,6,0.1160441238307028,clustered
15,20,20,0.166,0.0,1,7,0.1332143707774732,clustered
16,20,20,0.166,0.0,1,8,0.1152611739111007,clustered
17,20,20,0.166,0.0,1,9,0.1061538645100363,clustered
18,20,20,0.166,0.0,1,10,0.12626266878815,clustered
19,20,20,0.166,0.0,2,3,0.140070825561164,clustered
20,20,20,0.166,0.0,2,4,0.117681969769841,clustered
21,20,20,0.166,0.0,2,5,0.142905728989619,clustered
22,20,20,0.166,0.0,2,6,0.116476428622535,clustered
23,20,20,0.166,0.0,2,7,0.0975218410123776,clustered
24,20,20,0.166,0.0,2,8,0.1392123453526086,clustered
25,20,20,0.166,0.0,2,9,0.0801587980636238,clustered
26,20,20,0.166,0.0,2,10,0.1138983582426292,clustered
27,20,20,0.166,0.0,3,4,0.1000556071024297,clustered
28,20,20,0.166,0.0,3,5,0.163550750242207,clustered
29,20,20,0.166,0.0,3,6,0.128692676382441,clustered
30,20,20,0.166,0.0,3,7,0.1111372870963,clustered
31,20,20,0.166,0.0,3,8,0.1759438656655854,clustered
32,20,20,0.166,0.0,3,9,0.1218574959997593,clustered
33,20,20,0.166,0.0,3,10,0.1462432130145954,clustered
34,20,20,0.166,0.0,4,5,0.1542802527915323,clustered
35,20,20,0.166,0.0,4,6,0.1373228053531927,clustered
36,20,20,0.166,0.0,4,7,0.1173777934830585,clustered
