,N,bkgr_mean,bkgr_var,hub_size,hub_mean,hub_var,seed_a,seed_b,score
0,100,0.0,1.0,2,0.5,1.0,0,1,0.0348466611563728
1,100,0.0,1.0,2,0.5,1.0,0,2,0.0360204216200689
2,100,0.0,1.0,2,0.5,1.0,0,3,0.0405629638335682
3,100,0.0,1.0,2,0.5,1.0,0,4,0.0373353802909859
4,100,0.0,1.0,2,0.5,1.0,0,5,0.0384926728489568
5,100,0.0,1.0,2,0.5,1.0,0,6,0.0357923728992434
6,100,0.0,1.0,2,0.5,1.0,0,7,0.0356136235381468
7,100,0.0,1.0,2,0.5,1.0,0,8,0.0370237019007061
8,100,0.0,1.0,2,0.5,1.0,0,9,0.0353006071369993
9,100,0.0,1.0,2,0.5,1.0,0,10,0.0380010645058171
10,100,0.0,1.0,2,0.5,1.0,1,2,0.0339369637261183
11,100,0.0,1.0,2,0.5,1.0,1,3,0.0399352694706515
12,100,0.0,1.0,2,0.5,1.0,1,4,0.0375846055371843
13,100,0.0,1.0,2,0.5,1.0,1,5,0.0430493627148772
14,100,0.0,1.0,2,0.5,1.0,1,6,0.0440134109260366
15,100,0.0,1.0,2,0.5,1.0,1,7,0.0366040492975888
16,100,0.0,1.0,2,0.5,1.0,1,8,0.0431942768878968
17,100,0.0,1.0,2,0.5,1.0,1,9,0.0420692801617746
18,100,0.0,1.0,2,0.5,1.0,1,10,0.0286931539611438
19,100,0.0,1.0,2,0.5,1.0,2,3,0.0429604390930852
20,100,0.0,1.0,2,0.5,1.0,2,4,0.0373855208257697
21,100,0.0,1.0,2,0.5,1.0,2,5,0.0339966686979034
22,100,0.0,1.0,2,0.5,1.0,2,6,0.0347133643514998
23,100,0.0,1.0,2,0.5,1.0,2,7,0.0370738185437125
24,100,0.0,1.0,2,0.5,1.0,2,8,0.037149867158518
25,100,0.0,1.0,2,0.5,1.0,2,9,0.0370389044641886
26,100,0.0,1.0,2,0.5,1.0,2,10,0.0291367075212195
27,100,0.0,1.0,2,0.5,1.0,3,4,0.034825513009207
28,100,0.0,1.0,2,0.5,1.0,3,5,0.0344449792937245
29,100,0.0,1.0,2,0.5,1.0,3,6,0.0322901942919168
30,100,0.0,1.0,2,0.5,1.0,3,7,0.0386196690141517
31,100,0.0,1.0,2,0.5,1.0,3,8,0.0329006641362967
32,100,0.0,1.0,2,0.5,1.0,3,9,0.0360823866528057
33,100,0.0,1.0,2,0.5,1.0,3,10,0.0337498035739908
34,100,0.0,1.0,2,0.5,1.0,4,5,0.0409242176095452
35,100,0.0,1.0,2,0.5,1.0,4,6,0.0356518926118902
36,100,0.0,1.0,2,0.5,1.0,4,7,0.0346025145103859
